search_term,clicks,impressions,ctr,position,tracked_date
linoroso,83,178,46.63,1.01,2025-01-07
linoroso,83,178,46.63,1.01,2025-01-07
"linoroso knives",16,66,24.24,1.00,2025-01-07
"linoroso knives",16,66,24.24,1.00,2025-01-07
"linoroso lunch box",9,48,18.75,2.35,2025-01-07
"linoroso lunch box",9,48,18.75,2.35,2025-01-07
"linoroso bento box",6,17,35.29,1.71,2025-01-07
"linoroso bento box",6,17,35.29,1.71,2025-01-07
"linoroso knife",3,13,23.08,1.00,2025-01-07
"linoroso knife",3,13,23.08,1.00,2025-01-07
