Top queries,Clicks,Impressions,CTR,Position
linoroso,83,178,46.63%,1.01
linoroso knives,16,66,24.24%,1
linoroso lunch box,9,48,18.75%,2.35
linoroso bento box,6,17,35.29%,1.71
linoroso knife,3,13,23.08%,1
tpu cutting board,1,89,1.12%,11.39
meteorite chef knife,1,31,3.23%,9.94
unoroso,1,26,3.85%,1.96
round chopping board,1,2,50%,1
knife holder,0,125,0%,26.18
nylon cooking utensils,0,117,0%,20.43
premium kitchen knives,0,97,0%,53.66
nylon kitchen utensils,0,87,0%,34.64
bento box knives,0,81,0%,8.3
serrated peeler,0,80,0%,18.24
7 inch chef knife,0,79,0%,12.37
straight peeler,0,78,0%,36.88
magnetic knife block,0,69,0%,55.7
kitchen peeler set,0,60,0%,30.8
knife wall magnet,0,59,0%,16.78
santoku knife 6 inch,0,55,0%,20.96
8 inch chef knife,0,55,0%,63.82
mako knife set,0,48,0%,6.58
wall mounted knife holder,0,48,0%,14.35
lava box,0,47,0%,53.55
material knife block,0,43,0%,13.63
magnetic knife strip,0,42,0%,28.02
peeler set,0,41,0%,9.2
y peeler,0,41,0%,50.63
chinese cleaver,0,40,0%,66.33
magnetic knife strips,0,38,0%,32.82
orange bento box,0,35,0%,11.91
wall mounted magnetic knife holder,0,34,0%,13.71
7 inch santoku,0,33,0%,49.33
8 inch knife,0,33,0%,54.79
orange cutting board,0,32,0%,14.19
knife magnet,0,32,0%,29.38
knife strip,0,32,0%,46.88
kitchen scissor,0,32,0%,64.38
wall mount magnetic knife holder,0,31,0%,12.97
meteorite knife,0,31,0%,44.52
mako knives,0,29,0%,27.59
premium cutting boards,0,29,0%,73.69
nylon cooking spoons,0,28,0%,9.25
mako knife,0,28,0%,39.75
acacia cutting board,0,27,0%,15.59
8 inch chef's knife,0,27,0%,49.37
knife wall,0,26,0%,17.12
kitchen knife wall storage,0,25,0%,33.2
magnetic knife rack,0,25,0%,37.32
meteorite kitchen knife,0,24,0%,11.79
3-piece peeler set,0,24,0%,25.54
julienne peeler,0,24,0%,25.88
bento box sale,0,24,0%,48.58
professional kitchen scissors,0,24,0%,85.88
frozen bento box,0,23,0%,14.26
magnetic knife holder for wall,0,23,0%,15.35
premium kitchen,0,23,0%,42.13
professional vegetable peeler,0,22,0%,12.55
small kitchen knives,0,22,0%,37.73
8 chef,0,22,0%,61.55
julienne kitchen tool,0,21,0%,12.52
tpu cutting boards,0,21,0%,13.38
nylon utensils,0,21,0%,25.9
grip cutting board,0,21,0%,36.71
classic bento box,0,20,0%,16.45
premium scissors,0,20,0%,60.55
anolon cutting board,0,20,0%,89.2
graphic cow design,0,19,0%,40.89
mako cutting board,0,19,0%,63.21
blue bento box,0,18,0%,23.11
magnetic knife strip for wall,0,17,0%,9.24
cutting board grip,0,17,0%,12.53
7 inch chef's knife,0,16,0%,9.94
material kitchen knife block,0,16,0%,17.88
premium kitchen knife,0,16,0%,21.69
santoku knife 7,0,16,0%,47.75
perfomance series knife holders,0,15,0%,41.73
8 inch chefs knives,0,15,0%,52
knife wall mount,0,14,0%,14.71
